frame,dt,latency_ms,error_x,error_y,vel_forward,vel_yaw
126,0.467372,467.372,-353.0326,-228.4815,-0.456963,-30.0
127,0.449701,449.701,-349.3511,-230.0797,-0.460159,-30.0
128,0.490777,490.777,-334.6932,-212.2333,-0.424467,-30.0
129,0.456094,456.094,-300.1021,-215.7975,-0.431595,-30.0
130,0.45697,456.97,-301.0728,-217.8546,-0.435709,-30.0
131,0.445683,445.683,-294.3463,-218.369,-0.436738,-29.434634
132,0.41181,411.81,-287.6198,-218.8833,-0.437767,-28.761984
133,0.484184,484.184,-280.8933,-219.3976,-0.438795,-28.089333
134,0.442143,442.143,-274.1668,-219.9119,-0.439824,-27.416682
135,0.475549,475.549,-267.4403,-220.4262,-0.440852,-26.744032
136,0.472634,472.634,-260.7138,-220.9406,-0.441881,-26.071381
137,0.423255,423.255,-253.9873,-221.4549,-0.44291,-25.39873
138,0.445763,445.763,-247.2608,-221.9692,-0.443938,-24.72608
139,0.440173,440.173,-240.5343,-222.4835,-0.444967,-24.053429
140,0.427149,427.149,-233.8078,-222.9979,-0.445996,-23.380778
141,0.457516,457.516,-311.3447,-212.064,-0.424128,-30.0
142,0.43745,437.45,-302.8802,-214.4391,-0.428878,-30.0
143,0.450499,450.499,-303.0893,-215.4175,-0.430835,-30.0
144,0.426726,426.726,-321.9292,-215.028,-0.430056,-30.0
145,0.426987,426.987,-322.7377,-215.0898,-0.43018,-30.0
146,0.412093,412.093,-323.5462,-215.1515,-0.430303,-30.0
147,0.458973,458.973,-324.3547,-215.2133,-0.430427,-30.0
148,0.470087,470.087,-325.1632,-215.275,-0.43055,-30.0
149,0.433244,433.244,-329.7028,-208.9319,-0.417864,-30.0
150,0.425441,425.441,-361.3777,-205.8671,-0.411734,-30.0
151,0.457617,457.617,-365.8067,-205.0422,-0.410084,-30.0
152,0.449796,449.796,-370.2358,-204.2172,-0.408434,-30.0
153,0.462671,462.671,-360.1502,-211.7111,-0.423422,-30.0
154,0.456465,456.465,-367.3071,-211.3852,-0.42277,-30.0
155,0.495598,495.598,-380.1445,-208.8653,-0.417731,-30.0
156,0.552595,552.595,-399.6209,-204.1632,-0.408326,-30.0
157,0.52881,528.81,-401.4341,-203.4866,-0.406973,-30.0
158,0.537015,537.015,-400.6068,-203.1117,-0.406223,-30.0
159,0.551154,551.154,-403.3893,-202.1235,-0.404247,-30.0
160,0.567063,567.063,-407.9454,-200.7941,-0.401588,-30.0
161,0.520875,520.875,-409.9841,-200.4709,-0.400942,-30.0
162,0.503631,503.631,-410.2478,-200.0156,-0.400031,-30.0
163,0.543409,543.409,-409.9096,-199.9046,-0.399809,-30.0
